"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106"
"1","CS  Its Applications (201730: Spring 2017)","Ossowski, Jacek","01","CS  Its Applications","31617","CS","18","10","0","Computer Science","1100","4.2","4.4","4.4","4.5","4.0","4.0","4.2","4.2","4.1","4.2","4.4","4.4","4.2","4.3","4.4","4.5","3.8","3.7","4.2","4.5","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.5","4.5","4.2","4.4","4.1","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.5","4.4","4.4","4.7","4.5","4.1","4.4","4.4","4.0","4.6","4.5","4.5","4.5","4.3","4.1","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.4","4.2","4.3","4.4","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.5","4.2","4.4","10","40","20","20","10"
"2","CS  Its Applications (201730: Spring 2017)","Lieberherr, Karl","02","CS  Its Applications","31618","CS","10","6","1","Computer Science","1100","4.0","4.0","4.2","3.8","4.0","4.0","4.2","4.2","4.1","4.2","4.4","4.4","4.2","2.7","4.6","4.6","3.4","4.0","4.0","4.0","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.6","4.0","3.8","3.8","4.1","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.2","4.2","4.2","4.6","4.4","4.4","3.8","4.0","3.8","4.4","4.2","4.0","4.2","4.3","4.1","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.4","4.2","4.3","4.4","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","3.8","4.2","4.4","20","60",NA,NA,"20"
"3","CS  Its Applications (201730: Spring 2017)","Amor-Tijani, Ghita","03","CS  Its Applications","31619","CS","19","12","0","Computer Science","1100","4.0","4.0","4.1","4.2","4.0","4.0","4.2","4.2","4.1","4.2","4.4","4.4","3.4","3.8","4.3","4.5","3.9","3.9","4.3","4.1","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.3","4.3","3.6","3.9","4.1","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.2","4.0","4.2","4.3","4.4","3.8","3.7","4.2","3.9","4.3","4.2","3.9","4.2","4.3","4.1","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.4","4.2","4.3","4.4","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.2","4.2","4.4","17","33",NA,"25","17"
"4","CS  Its Applications (201730: Spring 2017)","Lieberherr, Karl","04","CS  Its Applications","31620","CS","15","7","1","Computer Science","1100","4.2","4.4","4.2","3.8","4.0","4.0","4.2","4.2","4.1","4.2","4.4","4.4","4.0","4.5","4.5","4.2","4.0","3.7","4.2","4.7","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.5","4.3","4.0","4.8","4.1","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.5","4.0","4.0","4.3","4.3","4.2","4.2","4.3","4.2","4.2","4.3","4.0","4.2","4.3","4.1","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.4","4.2","4.3","4.4","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","3.8","4.2","4.4","17","50","17","17",NA
"5","CS  Its Applications (201730: Spring 2017)","Amor-Tijani, Ghita","05","CS  Its Applications","32524","CS","19","16","0","Computer Science","1100","3.7","3.6","4.2","4.1","4.0","4.0","4.2","4.2","4.1","4.2","4.4","4.4","3.8","2.5","4.0","3.9","3.4","3.3","4.2","3.5","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","3.9","3.8","3.2","3.3","4.1","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.3","4.1","4.2","4.2","4.3","3.9","3.8","4.3","3.9","4.5","4.2","4.1","4.3","4.3","4.1","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.4","4.2","4.3","4.4","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.1","4.2","4.4",NA,"50","25","19",NA
"6","CS  Its Applications (201730: Spring 2017)","Naji, Nada","06","CS  Its Applications","33631","CS","18","11","0","Computer Science","1100","4.0","4.3","4.3","4.4","4.0","4.0","4.2","4.2","4.1","4.2","4.4","4.4","3.8","3.8","4.3","4.4","3.8","3.7","4.5","3.8","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.4","4.5","4.3","4.3","4.1","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.4","4.1","4.4","4.3","4.6","4.1","4.3","4.3","4.3","4.7","4.4","4.2","4.4","4.3","4.1","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.4","4.2","4.3","4.4","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.4","4.2","4.4","18","45",NA,"9","18"
"7","CS  Its Applications (201730: Spring 2017)","Ossowski, Jacek","08","CS  Its Applications","35718","CS","19","8","0","Computer Science","1100","3.9","4.0","3.9","4.1","4.0","4.0","4.2","4.2","4.1","4.2","4.4","4.4","3.5","2.0","4.5","4.5","3.8","3.2","4.3","3.8","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.4","4.3","3.0","3.3","4.1","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.0","3.9","4.0","4.1","4.3","3.5","3.7","4.0","3.8","3.9","3.9","3.9","3.6","4.3","4.1","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.4","4.2","4.3","4.4","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.1","4.2","4.4","25","50","13","13",NA
"8","CS  Its Applications (201730: Spring 2017)","Lieberherr, Karl","10","CS  Its Applications","37416","CS","10","6","0","Computer Science","1100","4.5","4.6","4.5","4.5","4.0","4.0","4.2","4.2","4.1","4.2","4.4","4.4","4.3","4.0","4.8","4.8","4.5","4.2","4.8","4.2","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.7","4.7","4.5","4.6","4.1","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.7","4.7","4.7","4.5","4.5","4.3","4.2","4.5","4.5","4.7","4.5","4.7","4.7","4.3","4.1","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.4","4.2","4.3","4.4","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.5","4.2","4.4","17","50","33",NA,NA
"9","CS  Its Applications (201730: Spring 2017)","Amor-Tijani, Ghita","11","CS  Its Applications","37417","CS","19","10","0","Computer Science","1100","4.3","4.4","4.5","4.3","4.0","4.0","4.2","4.2","4.1","4.2","4.4","4.4","4.0","4.0","4.7","4.7","4.1","4.2","4.6","4.3","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.8","4.8","3.9","4.0","4.1","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.5","4.5","4.4","4.5","4.7","4.7","4.6","4.4","4.4","4.4","4.5","4.8","4.5","4.3","4.1","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.4","4.2","4.3","4.4","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.3","4.2","4.4","10","60","30",NA,NA
"10","CS  Its Applications (201730: Spring 2017)","Lieberherr, Karl","12","CS  Its Applications","37418","CS","18","8","0","Computer Science","1100","4.2","4.3","4.3","4.4","4.0","4.0","4.2","4.2","4.1","4.2","4.4","4.4","3.9","3.7","4.4","4.4","4.1","4.1","4.3","4.1","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.1","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.4","4.4","4.2","4.2","4.1","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.3","4.1","4.3","4.7","4.3","4.3","4.3","4.3","4.1","4.3","4.1","4.3","4.4","4.3","4.1","4.2","4.3","4.3","4.1","4.0","4.2","4.0","4.4","4.2","4.3","4.4","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.4","4.2","4.4","13","50","13","13","13"
