"","Course Name","Instructor","Section","Course Title","CRN","Subject","Enrollment","Responses","Declines","Department","Number","Course Related Questions Course","Course Related Questions Department","Course Related Questions University","Learning Related Questions Course","Learning Related Questions Department","Learning Related Questions University","Instructor Related Questions Course","Instructor Related Questions Department","Instructor Related Questions University","Instructor Effectiveness Course","Instructor Effectiveness Department","Instructor Effectiveness University","Syllabus Helped Course","Syllabus Helped Department","Syllabus Helped University","Textbook Helped Course","Textbook Helped Department","Textbook Helped University","Online Helped Course","Online Helped Department","Online Helped University","Assignments Helped Course","Assignments Helped Department","Assignments Helped University","Lectures Helped Course","Lectures Helped Department","Lectures Helped University","Inclass Helped Course","Inclass Helped Department","Inclass Helped University","Classroom Technology Helped Course","Classroom Technology Helped Department","Classroom Technology Helped University","Course Was Intellectual Course","Course Was Intellectual Department","Course Was Intellectual University","Learned a Lot Course","Learned a Lot Department","Learned a Lot University","Learned Concepts And Principles Course","Learned Concepts And Principles Department","Learned Concepts And Principles University","Developed Skills Expressing Course","Developed Skills Expressing Department","Developed Skills Expressing University","Learned Analyze and Evaluate Course","Learned Analyze and Evaluate Department","Learned Analyze and Evaluate University","Instructor Communication Skills Course","Instructor Communication Skills Department","Instructor Communication Skills University","Instructor Communicated Course","Instructor Communicated Department","Instructor Communicated University","Instructor Stated Objectives Course","Instructor Stated Objectives Department","Instructor Stated Objectives University","Instructor Covered Stated Course","Instructor Covered Stated Department","Instructor Covered Stated University","Instructor Prepared Course","Instructor Prepared Department","Instructor Prepared University","Instructor Used Class Time Well Course","Instructor Used Class Time Well Department","Instructor Used Class Time Well University","Instructor Provided Feedback Course","Instructor Provided Feedback Department","Instructor Provided Feedback University","Instructor Fairly Evaluated Performance Course","Instructor Fairly Evaluated Performance Department","Instructor Fairly Evaluated Performance University","Would Recommend Course","Would Recommend Department","Would Recommend University","Respected Students Course","Respected Students Department","Respected Students University","Instructor Took Effective Action Course","Instructor Took Effective Action Department","Instructor Took Effective Action University","Instructor Available Outside of Class Course","Instructor Available Outside of Class Department","Instructor Available Outside of Class University","Instructor Displayed Enthusiasm Course","Instructor Displayed Enthusiasm Department","Instructor Displayed Enthusiasm University","Instructor Overall Course","Instructor Overall Department","Instructor Overall University","Spent 1-4 Hours","Spent 5-8 Hours","Spent 9-12 Hours","Spent 13-16 Hours","Spent 17-20 Hours"
"1","Courts and Sentencing (201640: Summer 1 2016)","Ireland, Roderick","01","Courts and Sentencing","41175","CRIM","9","6","1","Criminology  Criminal Justice","7256","4.9","5.0","5.0","5.0","4.7","4.7","4.9","4.9","4.2","4.2","4.4","4.4","5.0","4.8","4.8","5.0","5.0","5.0","4.8","4.5","4.6","4.6","4.8","4.7","4.9","4.9","4.6","4.4","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","5.0","5.0","5.0","5.0","4.8","4.7","4.5","4.7","4.3","4.3","4.0","4.2","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","4.8","5.0","4.9","4.9","4.9","4.9","4.9","4.9","4.8","4.8","4.9","5.0","4.9","4.7","4.9","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","5.0","4.9","4.4",NA,NA,NA,NA,"60"
"2","CS  Its Applications (201640: Summer 1 2016)","Weintraub, Michael","01","CS  Its Applications","40188","CS","52","30","0","Computer Science","1100","4.1","4.2","4.3","4.2","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","4.1","3.5","4.3","4.4","4.1","3.6","4.3","3.9","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.5","4.5","3.7","4.0","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.3","4.2","4.4","4.3","4.3","4.1","4.1","4.3","4.1","4.3","4.3","4.3","4.4","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.2","4.4","4.4",NA,"27","33",NA,"23"
"3","Discrete Structures (201640: Summer 1 2016)","Naji, Nada","01","Discrete Structures","40728","CS","31","19","2","Computer Science","1800","3.5","3.1","3.9","3.7","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","3.6","3.9","3.6","3.8","3.5","3.3","3.3","3.1","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","3.2","3.4","2.8","3.1","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","3.9","3.3","3.8","4.2","3.7","3.7","3.5","4.3","3.4","4.3","3.8","4.2","4.1","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","3.7","4.4","4.4","18","41","24","18",NA
"4","Recitation for CS 1800 (201640: Summer 1 2016)","Naji, Nada","01","Recitation for CS 1800","40729","CS","14","5","1","Computer Science","1801","4.5","4.7","4.7","4.8","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","4.7","4.3","4.3","4.3","4.7","4.3","4.5","4.7","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.7","4.7","4.7","5.0","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.8","4.4","4.4","50",NA,"25","25",NA
"5","Recitation for CS 1800 (201640: Summer 1 2016)","Naji, Nada","02","Recitation for CS 1800","40730","CS","13","4","1","Computer Science","1801","5.0","5.0","5.0","3.0","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","5.0","5.0","5.0","5.0","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","3.0","4.4","4.4",NA,NA,"100",NA,NA
"6","Fundamentals of Computer Sci 1 (201640: Summer 1 2016)","Razzaq, Leena","01","Fundamentals of Computer Sci 1","40571","CS","65","43","1","Computer Science","2500","4.0","4.2","4.3","4.4","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","4.0","3.8","4.0","4.4","3.9","3.8","4.2","4.3","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.5","4.4","3.9","4.2","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.4","4.4","4.2","4.4","4.5","4.4","4.0","4.2","4.1","4.5","4.1","4.4","4.2","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.4","4.4","4.4","2","10","21","52","14"
"7","Lab for CS 2500 (201640: Summer 1 2016)","Razzaq, Leena","01","Lab for CS 2500","40572","CS","28","13","2","Computer Science","2501","4.2","3.9","4.0","4.3","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","4.0","3.7","4.3","4.5","4.1","4.0","4.5","4.6","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.1","4.1","3.5","3.9","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.1","4.0","4.0","4.1","4.1","4.0","3.8","3.8","3.9","4.2","4.0","4.0","4.0","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.3","4.4","4.4",NA,"45",NA,"27","18"
"8","Lab for CS 2500 (201640: Summer 1 2016)","Razzaq, Leena","02","Lab for CS 2500","41146","CS","37","11","1","Computer Science","2501","4.1","3.7","4.4","4.1","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","4.1","4.3","4.0","3.9","4.1","4.1","4.2","4.4","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","3.8","3.9","3.6","3.7","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.3","4.6","4.4","4.4","4.4","4.6","4.6","4.1","4.3","4.4","4.4","4.6","4.4","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.1","4.4","4.4","50","20","10","20",NA
"9","Fundamentals of Computer Sci 2 (201640: Summer 1 2016)","Razzaq, Leena","01","Fundamentals of Computer Sci 2","40189","CS","62","31","1","Computer Science","2510","4.0","4.1","4.2","4.2","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","3.9","3.5","4.1","4.3","3.8","3.5","3.8","4.6","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","4.2","4.1","4.0","4.1","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.1","4.0","4.2","4.4","4.4","4.0","4.0","4.0","4.0","4.5","3.8","4.3","4.3","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.2","4.4","4.4",NA,"14","21","41","24"
"10","Lab for CS 2510 (201640: Summer 1 2016)","Razzaq, Leena","01","Lab for CS 2510","40190","CS","45","17","2","Computer Science","2511","3.8","4.0","4.0","4.2","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","3.7","3.1","3.7","3.8","3.5","4.1","3.9","4.1","4.0","3.8","4.2","4.4","4.1","3.9","4.1","4.3","4.1","4.0","4.3","4.3","4.3","4.2","4.1","4.1","3.9","4.2","3.9","3.9","4.3","4.3","3.8","4.0","4.3","4.3","4.0","4.2","4.0","3.9","4.0","4.1","3.9","4.0","4.1","3.9","4.0","3.9","4.0","4.1","4.1","4.4","4.3","4.4","4.5","4.5","4.3","4.2","4.3","4.3","4.6","4.3","4.5","4.5","4.5","4.3","4.4","4.5","4.5","4.4","4.2","4.3","4.3","4.5","4.4","4.4","4.5","4.2","4.4","4.4","47",NA,"33",NA,"13"
