"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106"
"Planning for Arts Orgs (201730: Spring 2017)","Conceison, Michelle","01","Planning for Arts Orgs","38386","AACE","7","4","0","Interdisc Studies - Arts/Media","6010","3.3","3.6","3.7","3.8","3.9","3.8","4.2","4.2","4.1","4.2","4.4","4.4","3.8","2.3","3.5","3.0","3.7","3.5","2.8","3.8","4.0","3.4","4.3","3.9","4.1","3.8","3.7","3.8","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.0","4.3","3.0","3.3","4.0","4.1","3.5","3.7","4.2","4.3","4.0","4.1","4.5","3.3","3.8","4.0","4.0","3.5","2.8","4.0","3.5","4.8","3.0","2.7","4.0","4.5","4.1","4.4","4.5","4.3","4.0","4.1","4.3","4.2","4.8","4.1","3.5","4.2","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","3.8","4.2","4.4",NA,"25","25","50",NA
"IT for Arts Organizations (201730: Spring 2017)","Lyons, Robert","01","IT for Arts Organizations","38069","AACE","17","14","0","Interdisc Studies - Arts/Media","6110","4.1","3.9","4.4","4.4","3.9","3.8","4.2","4.2","4.1","4.2","4.4","4.4","4.1","4.4","4.6","4.0","4.3","3.9","4.0","3.9","4.0","3.4","4.3","3.9","4.1","3.8","3.7","3.8","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.0","4.1","3.6","3.9","4.0","4.1","3.5","3.7","4.2","4.3","4.0","4.1","4.5","4.4","4.6","4.6","4.4","4.1","4.4","4.4","4.4","4.8","4.5","3.7","4.3","4.5","4.1","4.4","4.5","4.3","4.0","4.1","4.3","4.2","4.8","4.1","3.5","4.2","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.4","4.2","4.4","21","50","29",NA,NA
"Financl Accounting  Reporting (201730: Spring 2017)","Fitzgerald, Brian","01","Financl Accounting  Reporting","30763","ACCT","40","37","0","Accounting","1201","4.5","4.5","4.8","4.8","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","4.4","4.2","4.7","4.6","4.7","4.5","4.3","4.4","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.7","4.6","4.1","4.5","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","4.8","4.7","4.8","4.7","4.8","4.8","4.8","4.7","4.8","4.8","4.8","4.8","4.8","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.8","4.5","4.4","14","27","38","22",NA
"Financl Accounting  Reporting (201730: Spring 2017)","Hurley, Patrick","02","Financl Accounting  Reporting","30698","ACCT","40","35","0","Accounting","1201","4.5","4.4","4.9","4.9","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","4.3","3.7","4.9","4.7","4.7","4.6","4.7","4.5","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.6","4.5","4.2","4.3","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","4.9","4.9","4.9","4.9","4.9","4.9","4.7","4.8","4.9","4.9","4.8","4.9","4.9","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.9","4.5","4.4","11",NA,"40","34","11"
"Financl Accounting  Reporting (201730: Spring 2017)","Hurley, Patrick","03","Financl Accounting  Reporting","30697","ACCT","40","39","0","Accounting","1201","4.4","4.2","4.9","4.9","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","4.0","3.7","4.7","4.6","4.9","4.6","4.4","4.4","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.6","4.5","3.6","4.1","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","5.0","5.0","4.9","4.8","5.0","4.9","4.8","4.9","5.0","4.9","4.9","4.8","4.9","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","5.0","4.5","4.4","36","44",NA,"13",NA
"Financl Accounting  Reporting (201730: Spring 2017)","Fitzgerald, Brian","05","Financl Accounting  Reporting","30695","ACCT","39","38","1","Accounting","1201","4.4","4.3","4.7","4.7","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","4.3","4.1","4.7","4.5","4.5","4.5","4.4","4.5","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.5","4.3","4.0","4.1","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","4.8","4.7","4.7","4.7","4.8","4.7","4.6","4.7","4.7","4.8","4.7","4.6","4.7","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.7","4.5","4.4","24",NA,"35","32","5"
"Financl Accounting  Reporting (201730: Spring 2017)","Ruff, Michael","06","Financl Accounting  Reporting","30694","ACCT","37","32","0","Accounting","1201","4.2","4.1","4.5","4.3","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","4.0","3.9","4.4","4.5","4.0","4.3","4.0","4.4","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.4","4.3","3.9","3.9","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","4.4","4.2","4.7","4.5","4.6","4.3","4.3","4.5","4.1","4.7","4.4","4.5","4.8","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.3","4.5","4.4","19","34",NA,"31","9"
"Financl Accounting  Reporting (201730: Spring 2017)","Hurley, Patrick","07","Financl Accounting  Reporting","30693","ACCT","40","33","0","Accounting","1201","4.6","4.7","4.9","4.9","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","4.3","3.8","4.9","4.8","4.9","4.9","4.8","4.5","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.8","4.8","4.4","4.6","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","5.0","4.9","5.0","4.9","5.0","4.9","4.8","4.9","5.0","5.0","5.0","4.9","5.0","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.9","4.5","4.4","6","45","36","12",NA
"Financl Accounting  Reporting (201730: Spring 2017)","Ginsberg, Laurance","08","Financl Accounting  Reporting","30182","ACCT","35","19","0","Accounting","1201","3.9","3.9","4.4","4.4","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","3.8","3.2","4.4","3.9","4.0","4.0","3.8","4.4","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.3","4.0","3.5","3.6","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","4.3","4.2","4.4","4.5","4.7","4.7","4.3","4.2","4.0","4.6","4.3","4.6","4.3","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.4","4.5","4.4",NA,NA,"53","26","16"
"Financl Accounting  Reporting (201730: Spring 2017)","Kontis, Panagiotis","10","Financl Accounting  Reporting","30098","ACCT","18","15","1","Accounting","1201","3.9","3.8","4.1","3.9","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","3.7","4.1","4.0","4.2","3.7","3.7","3.7","4.1","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.3","3.9","3.5","3.6","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","4.1","3.8","4.2","4.1","4.4","3.8","3.9","4.3","3.7","4.4","4.1","4.4","4.4","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","3.9","4.5","4.4","7","21","43","21","7"
