"title","prof","subject","courseQuestions","learningQuestions","instructorQuestions","wouldRecommend","spentMinimum","spentLow","spentMedium","spentHigh","spentMax"
"AACE6000 Arts and Culture Leadership","Arcadipone, Diana","AACE",4,4.7,4.4,4.3,NA,50,17,33,NA
"AACE6010 Planning for Arts Orgs","Conceison, Michelle","AACE",3.3,3.8,4.2,3.5,NA,25,25,50,NA
"AACE6110 IT for Arts Organizations","Lyons, Robert","AACE",4.1,4.4,4.2,3.5,21,50,29,NA,NA
"ACCT1201 Financl Accounting  Reporting","Davenport, Stephan","ACCT",3.86666666666667,3.76666666666667,4.5,4.5,NA,53,NA,23.6666666666667,NA
"ACCT1201 Financl Accounting  Reporting","Dinan, Edward","ACCT",4.425,4.7,4.5,4.5,10,34.5,NA,18.75,9.25
"ACCT1201 Financl Accounting  Reporting","Erickson, Devon","ACCT",4.45,4.95,4.5,4.5,NA,NA,46.5,35,NA
"ACCT1201 Financl Accounting  Reporting","Fitzgerald, Brian","ACCT",4.425,4.7125,4.5,4.5,NA,NA,NA,29.25,NA
"ACCT1201 Financl Accounting  Reporting","Ginsberg, Laurance","ACCT",4.04285714285714,4.38571428571429,4.5,4.5,NA,NA,NA,22.5714285714286,NA
"ACCT1201 Financl Accounting  Reporting","Goldman, William","ACCT",4.5,4.85,4.5,4.5,NA,9.5,41.5,32,14
"ACCT1201 Financl Accounting  Reporting","Hurley, Patrick","ACCT",4.48888888888889,4.88888888888889,4.5,4.5,NA,NA,NA,22,NA
"ACCT1201 Financl Accounting  Reporting","Jackson, Cynthia","ACCT",4.25,4.45,4.5,4.5,7,32.5,54.5,7,NA
"ACCT1201 Financl Accounting  Reporting","Jones, Jeremy","ACCT",4.4,4.75,4.5,4.5,18.6666666666667,NA,NA,28.5,NA
"ACCT1201 Financl Accounting  Reporting","Kelson, Norman","ACCT",4,4,4.5,4.5,4,20,40,24,12
"ACCT1201 Financl Accounting  Reporting","Kontis, Panagiotis","ACCT",3.92857142857143,3.91428571428571,4.5,4.5,NA,NA,NA,24,NA
"ACCT1201 Financl Accounting  Reporting","O'Kelly, Peggy","ACCT",4.5,4.82,4.54,4.54,NA,31.2,NA,NA,16
"ACCT1201 Financl Accounting  Reporting","Regan, James","ACCT",3.83333333333333,3.6,4.5,4.5,NA,NA,NA,36.3333333333333,15
"ACCT1201 Financl Accounting  Reporting","Ruff, Michael","ACCT",4.18,4.36,4.5,4.5,12,NA,NA,23.4,8.4
"ACCT1201 Financl Accounting  Reporting","Russo, Anthony","ACCT",3.75,3.81666666666667,4.5,4.5,NA,23.1666666666667,NA,34.8333333333333,NA
"ACCT1201 Financl Accounting  Reporting","Trotman, Andrew","ACCT",4.26666666666667,4.9,4.5,4.5,14.3333333333333,NA,32.3333333333333,NA,NA
"ACCT1201 Financl Accounting  Reporting","Wright, Nicole","ACCT",4.33333333333333,4.63333333333333,4.5,4.5,26,NA,46.6666666666667,9.33333333333333,12.3333333333333
"ACCT1202 Fin Accounting Global Context","Goldman, William","ACCT",4.5,4.81428571428571,4.5,4.5,NA,NA,38.1428571428571,NA,NA
"ACCT1209 Financl Accounting  Reporting","Moolman, Daniel","ACCT",3.85,3.95,4.5,4.5,11.25,29,NA,25.75,9.25
"ACCT1209 Financl Accounting  Reporting","O'Kelly, Peggy","ACCT",4.3,4.68333333333333,4.5,4.5,18.3333333333333,NA,41.5,11.8333333333333,NA
"ACCT2301 Managerial Accounting","Davenport, Stephan","ACCT",3.96666666666667,4,4.5,4.5,NA,NA,25.6666666666667,19.6666666666667,NA
"ACCT2301 Managerial Accounting","Dinan, Edward","ACCT",4.26,4.66,4.5,4.5,27.8,NA,NA,18.3,NA
"ACCT2301 Managerial Accounting","Hoitash, Udi","ACCT",4.325,4.825,4.5,4.5,17.75,NA,NA,28.75,7.25
"ACCT2301 Managerial Accounting","Jones, Jeremy","ACCT",4.2,4.6,4.5,4.5,20,NA,50,5,20
"ACCT2301 Managerial Accounting","Liu, Xiaotao","ACCT",4.41666666666667,4.61666666666667,4.5,4.5,26.8333333333333,NA,NA,11.5,NA
"ACCT2301 Managerial Accounting","Maletta, Mario","ACCT",4.25,4.75,4.5,4.5,8,NA,36.5,23.5,NA
"ACCT2301 Managerial Accounting","Nichol, Jennifer","ACCT",3.95,4.18333333333333,4.5,4.5,13.5,NA,NA,NA,NA
"ACCT2301 Managerial Accounting","O'Haver, Robert","ACCT",4.32,4.74,4.5,4.5,21,NA,39.8,11.8,NA
"ACCT2301 Managerial Accounting","Petit, Matthew","ACCT",4.45,4.45,4.5,4.5,NA,49,NA,16,NA
"ACCT2301 Managerial Accounting","Platt, Marjorie","ACCT",4.24,4.6,4.5,4.5,NA,NA,NA,22.6,NA
"ACCT2301 Managerial Accounting","Regan, James","ACCT",4.04666666666667,4.12,4.51333333333333,4.51333333333333,NA,NA,NA,NA,NA
"ACCT2301 Managerial Accounting","White, James","ACCT",3.65,3.5,4.5,4.5,29.5,NA,28.5,23.5,NA
"ACCT2301 Managerial Accounting","Zullo, Ronald","ACCT",4.2,4.66666666666667,4.5,4.5,12,45.8333333333333,NA,14,NA
"ACCT2302 Managerial Acct Global Context","Tanlu, Lloyd John","ACCT",4.4,4.81666666666667,4.5,4.5,20,NA,NA,19.8333333333333,NA
"ACCT3304 Bus Law  Professional Ethics","Gagnon, Timothy","ACCT",4,4.03333333333333,4.5,4.5,NA,29,NA,28.6666666666667,NA
"ACCT3401 Financl Reporting  Analysis 1","Krishnamoorthy, Ganesh","ACCT",4.675,4.9,4.5,4.5,NA,34.25,NA,24.25,23.75
"ACCT3401 Financl Reporting  Analysis 1","Ruff, Michael","ACCT",4.18,4.3,4.5,4.5,NA,20.6,NA,37.4,17.8
"ACCT3401 Financl Reporting  Analysis 1","Zhang, Yue","ACCT",4.5,4.74444444444444,4.5,4.5,NA,26.4444444444444,39.7777777777778,21.2222222222222,NA
"ACCT3403 Accounting Information Systems","Kelson, Norman","ACCT",3.8,3.6,4.5,4.5,27,47,NA,7,13
"ACCT3403 Accounting Information Systems","O'Haver, Robert","ACCT",4.26666666666667,4.66666666666667,4.5,4.5,NA,NA,NA,28.3333333333333,15.3333333333333
"ACCT3416 Stratgc Cost Anly for Decision","Goldman, William","ACCT",4.45,4.7,4.55,4.55,NA,NA,NA,33.5,46
"ACCT3416 Stratgc Cost Anly for Decision","Liu, Xiaotao","ACCT",4.4,4.3,4.5,4.5,5,30,40,20,5
"ACCT3416 Stratgc Cost Anly for Decision","Moreno, Kimberly","ACCT",4.21,4.48,4.5,4.5,NA,NA,NA,NA,NA
"ACCT4412 Auditing  Other Assur Srvcs","Archabal, Daniel","ACCT",3.9,4.2,4.5,4.5,8,13,50,20,10
"ACCT4412 Auditing  Other Assur Srvcs","Bame-Aldred, Charles","ACCT",4.6,4.7,4.5,4.5,7,7,43,29,14
"ACCT4412 Auditing  Other Assur Srvcs","Dinan, Edward","ACCT",4.16666666666667,4.36666666666667,4.5,4.5,NA,NA,NA,19.3333333333333,16.6666666666667
"ACCT4412 Auditing  Other Assur Srvcs","Wright, Nicole","ACCT",4.3,4.5,4.5,4.5,16.3333333333333,40.3333333333333,NA,12.6666666666667,NA
"ACCT4414 Inc Tax Detrmnation  Planning","Moore, Rebekah","ACCT",4.31666666666667,4.58333333333333,4.5,4.5,3.5,18.5,40.3333333333333,24.6666666666667,12.5
"ACCT4414 Inc Tax Detrmnation  Planning","Zullo, Ronald","ACCT",4.175,4.275,4.5,4.5,NA,NA,NA,30.5,11.25
"ACCT4501 Financl Reporting  Analysis 2","Bame-Aldred, Charles","ACCT",4.6,4.81666666666667,4.5,4.5,NA,NA,39,37.5,NA
"ACCT4501 Financl Reporting  Analysis 2","Gal-Or, Ronen","ACCT",4.58,4.76,4.5,4.5,NA,26.2,NA,NA,16.8
"ACCT4501 Financl Reporting  Analysis 2","Jones, Jeremy","ACCT",4.45,4.5,4.5,4.5,NA,40,25,NA,NA
"ACCT4501 Financl Reporting  Analysis 2","O'Kelly, Peggy","ACCT",4.625,4.825,4.5,4.5,NA,30.75,26.75,NA,13.5
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Kontis, Panagiotis","ACCT",4,4,4.5,4.5,NA,50,50,NA,NA
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Maletta, Mario","ACCT",4.33333333333333,4.7,4.5,4.5,NA,33.3333333333333,36.6666666666667,14,NA
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Moolman, Daniel","ACCT",4.4,4.46666666666667,4.5,4.5,NA,41.6666666666667,NA,20.1666666666667,NA
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Petit, Matthew","ACCT",4.45,4.675,4.55,4.575,13,27.5,NA,18.75,13.5
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Platt, Marjorie","ACCT",4.35,4.65,4.5,4.5,7.5,37.5,33.5,NA,NA
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Ruff, Michael","ACCT",4.15,4.35,4.5,4.5,NA,49,NA,10.5,13.5
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Sherman, H.","ACCT",4.35,4.6,4.5,4.5,19.5,NA,35.5,28.5,NA
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Williams, Christina","ACCT",4,4.4,4.5,4.5,NA,NA,NA,NA,30
"ACCT6201 Fin Reptg  Manag Dec Mkg 2","Walker Jr, Donald","ACCT",2.8,2.9,4.5,4.5,33,50,17,NA,NA
"ACCT6201 Fin Reptg  Manag Dec Mkg 2","Williams, Christina","ACCT",4.26666666666667,4.46666666666667,4.5,4.5,NA,NA,NA,26.8333333333333,NA
"ACCT6201 Fin Reptg  Manag Dec Mkg 2","Zullo, Ronald","ACCT",4.4,4.5,4.5,4.5,21,29,21,29,NA
